iter	Accuracy	MultiClass
824	0.998630137	0.0541006018
825	0.998630137	0.05402950985
826	0.9987671233	0.05396972895
827	0.9987671233	0.05390819544
828	0.9987671233	0.05382118326
829	0.9987671233	0.0537208521
830	0.9987671233	0.05366694323
831	0.9987671233	0.05361099525
832	0.9987671233	0.05353910399
833	0.9987671233	0.05346694271
834	0.9987671233	0.05341763194
835	0.9987671233	0.05334905343
836	0.9987671233	0.05328510576
837	0.9987671233	0.05320616584
838	0.9987671233	0.05313164191
839	0.9987671233	0.05308554011
840	0.9987671233	0.05301018234
841	0.9987671233	0.05294529135
842	0.9987671233	0.0529006123
843	0.9987671233	0.0528276741
844	0.9987671233	0.05277708206
845	0.9987671233	0.05269402515
846	0.9987671233	0.05264002437
847	0.9987671233	0.0525683512
848	0.9987671233	0.0524985621
849	0.9987671233	0.0524447471
850	0.9987671233	0.05238758925
851	0.9987671233	0.05235500541
852	0.9987671233	0.05232174949
853	0.9987671233	0.05223089558
854	0.9987671233	0.05215527281
855	0.9987671233	0.05209068466
856	0.9987671233	0.05202307898
857	0.9987671233	0.05194773494
858	0.9987671233	0.05181825633
859	0.9987671233	0.05175488261
860	0.9987671233	0.0517093481
861	0.9987671233	0.05165784762
862	0.9987671233	0.05159252764
863	0.9987671233	0.05148819365
864	0.9987671233	0.05146100049
865	0.9987671233	0.0514306034
866	0.9987671233	0.05135124106
867	0.9987671233	0.05129641026
868	0.9987671233	0.05123675964
869	0.9987671233	0.05117652471
870	0.9987671233	0.05112067788
871	0.9987671233	0.05103571213
872	0.9987671233	0.05099976598
873	0.9987671233	0.05089780293
874	0.9987671233	0.05085409918
875	0.9987671233	0.050753029
876	0.9987671233	0.05068314331
877	0.9987671233	0.050622772
878	0.9987671233	0.05055866966
879	0.9987671233	0.05048854935
